epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,568.604,1.24115,0.67328,0.97939,0.87542,0.8344,0.85877,0.5497,1.39841,0.7326,0.95131,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,1126.52,1.28844,0.702,0.99058,0.86834,0.81023,0.84797,0.54157,1.40171,0.72826,0.95612,0.019556,0.00651865,0.019556,0.00651865,0.019556,0.00651865,0.019556,0.00651865
3,1692.48,1.37523,0.77122,1.01449,0.79746,0.77025,0.79967,0.47769,1.53122,0.87113,0.98176,0.0287649,0.00958831,0.0287649,0.00958831,0.0287649,0.00958831,0.0287649,0.00958831
4,2253.14,1.42966,0.83181,1.03499,0.84428,0.76301,0.79406,0.48107,1.52595,0.82456,0.98817,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2811.42,1.41273,0.81838,1.03082,0.80958,0.79101,0.82296,0.49784,1.49794,0.83024,0.97505,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3370.98,1.39992,0.80784,1.02231,0.79055,0.74957,0.79226,0.49297,1.49168,0.90277,0.97924,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3929.08,1.39051,0.80467,1.02238,0.84205,0.8041,0.82892,0.50487,1.52653,0.83243,0.98907,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4492.98,1.3838,0.79724,1.01892,0.85911,0.80119,0.82145,0.50094,1.48554,0.78421,0.98187,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5051.85,1.37486,0.78406,1.01408,0.85179,0.80697,0.8326,0.50926,1.46628,0.75571,0.97341,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5613.98,1.37054,0.78433,1.01727,0.83027,0.80105,0.82925,0.5149,1.45474,0.79807,0.96695,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6182.67,1.35553,0.77417,1.01351,0.86635,0.81305,0.84667,0.52389,1.43516,0.7454,0.96056,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,6753.11,1.34761,0.76644,1.0135,0.82637,0.80423,0.82301,0.52059,1.43331,0.76152,0.95982,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7319.62,1.34812,0.76413,1.01355,0.87109,0.83881,0.85739,0.53235,1.42705,0.73048,0.96255,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
