epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,640.477,1.23868,0.67228,0.97804,0.88323,0.83818,0.86139,0.55022,1.38005,0.71381,0.94515,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,1227.32,1.29032,0.7132,0.98972,0.86193,0.81124,0.83849,0.53842,1.40994,0.79684,0.95442,0.019556,0.00651865,0.019556,0.00651865,0.019556,0.00651865,0.019556,0.00651865
3,1812.78,1.38559,0.79264,1.01334,0.77728,0.74797,0.76472,0.46517,1.58535,0.92858,0.99284,0.0287649,0.00958831,0.0287649,0.00958831,0.0287649,0.00958831,0.0287649,0.00958831
4,2403.68,1.44137,0.85771,1.03654,0.80261,0.77682,0.79458,0.48695,1.54369,0.88219,0.98726,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2992.14,1.42664,0.84276,1.03673,0.84801,0.77928,0.80454,0.48846,1.54593,0.81606,0.98228,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3588.56,1.4107,0.82882,1.02564,0.79309,0.78676,0.79852,0.47557,1.5388,0.83912,0.98534,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4180.78,1.40294,0.82247,1.02475,0.82853,0.80515,0.8275,0.50816,1.49723,0.79037,0.97236,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4768.54,1.39287,0.81361,1.02278,0.81387,0.7862,0.80038,0.49352,1.50005,0.80139,0.97608,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5362.41,1.38242,0.80068,1.01773,0.80766,0.80017,0.80967,0.4996,1.46689,0.80307,0.97262,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5956.15,1.3772,0.7967,1.0195,0.82086,0.75595,0.77274,0.49372,1.48431,0.77293,0.97528,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6550.87,1.36637,0.78736,1.0161,0.83843,0.78052,0.81109,0.51046,1.45478,0.82536,0.96297,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7133.27,1.35591,0.77695,1.0179,0.8051,0.81752,0.82305,0.52519,1.42502,0.78101,0.95858,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7704.58,1.35401,0.77779,1.01473,0.85886,0.82333,0.84443,0.52877,1.43707,0.76071,0.95752,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8274.83,1.34164,0.76129,1.00604,0.84583,0.83945,0.84055,0.52938,1.4177,0.7456,0.95489,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,8838.4,1.33087,0.75249,1.00598,0.86432,0.82525,0.8559,0.53348,1.46129,0.74335,0.96769,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9391.89,1.33244,0.75248,1.00543,0.8438,0.82605,0.83914,0.54046,1.41514,0.7248,0.95706,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,9945.57,1.31772,0.74556,1.00446,0.87655,0.84369,0.86271,0.56018,1.40029,0.68912,0.9553,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,10502.2,1.32319,0.73749,1.00239,0.87831,0.8549,0.85905,0.54788,1.37238,0.70673,0.95062,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11067.9,1.3051,0.734,0.99657,0.86489,0.84499,0.8631,0.55458,1.37853,0.69625,0.94712,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,11637.2,1.30209,0.7308,0.99653,0.88401,0.84253,0.85853,0.55452,1.38959,0.70309,0.95066,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,12204.7,1.28958,0.72155,0.9943,0.87627,0.85084,0.87682,0.56922,1.36812,0.70229,0.9465,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,12777.8,1.2822,0.71096,0.99049,0.86647,0.85748,0.8675,0.56273,1.36798,0.67547,0.94562,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
