epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,684.284,1.59943,0.84546,0.00377,0.87046,0.84699,0.87511,0.57919,1.66991,0.77759,0.00402,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,1323.53,1.62514,0.85026,0.00387,0.83561,0.785,0.83079,0.53538,1.7526,0.92042,0.00424,0.019556,0.00651865,0.019556,0.00651865,0.019556,0.00651865,0.019556,0.00651865
3,1959.33,1.71988,0.92,0.00414,0.78706,0.78531,0.79919,0.47888,1.82496,1.00498,0.00453,0.0287649,0.00958831,0.0287649,0.00958831,0.0287649,0.00958831,0.0287649,0.00958831
4,2594.4,1.78095,0.98749,0.00447,0.82204,0.77872,0.80765,0.4916,1.77003,0.97397,0.00437,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3226.16,1.77599,0.97622,0.00452,0.78896,0.78516,0.79774,0.46767,1.84872,0.97808,0.00467,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3867.52,1.76982,0.97573,0.00442,0.81616,0.7727,0.8198,0.48527,1.82352,0.94234,0.00452,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4500.39,1.77164,0.9818,0.00442,0.83962,0.79649,0.82492,0.5131,1.80418,0.89959,0.0045,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5137.78,1.76918,0.9625,0.00444,0.81365,0.7919,0.81183,0.48223,1.84746,0.94386,0.00466,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5777.93,1.7657,0.95742,0.00436,0.81263,0.79752,0.82609,0.50066,1.7991,0.95251,0.00444,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6416.31,1.75414,0.95207,0.00435,0.82698,0.80676,0.82687,0.51907,1.74254,0.90891,0.00426,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
